"","s.Historic","s.Restored","s.Salt_Pond","index","stat","p.value"
"531",1,0,0,1,0.720486894819333,1e-04
"532",1,0,0,1,0.370986449460323,1e-04
"533",0,0,1,3,0.681343152569193,0.001
"534",1,0,0,1,0.883973504379768,1e-04
"535",1,0,0,1,0.533694102970706,1e-04
"536",0,1,0,2,0.390022617666212,0.143
"537",0,1,0,2,0.58168022831879,1e-04
"538",0,0,1,3,0.749505907025787,3e-04
"539",1,0,0,1,0.706284749913014,1e-04
"540",1,1,0,4,0.293709961289044,0.4116
"541",0,0,1,3,0.621828524213212,0.0012
"542",1,0,0,1,0.608464418521684,1e-04
"543",1,0,0,1,0.31323012474978,0.3807
"544",1,0,0,1,0.684420380969459,1e-04
"546",1,0,0,1,0.349447127421141,0.0925
"547",0,0,1,3,0.517333658807009,0.0174
"548",1,0,0,1,0.691459060877626,0.0013
"549",0,1,0,2,0.704337045992902,7e-04
"550",0,1,0,2,0.700161019050117,0.0013
"551",1,0,0,1,0.440513599506583,0.0391
"552",0,0,1,3,0.76430822463428,3e-04
"553",1,0,0,1,0.473318482264626,0.0814
"554",1,1,0,4,0.537045424188887,0.0171
"555",1,0,0,1,0.481603878717887,1e-04
"556",1,0,0,1,0.387260501370411,0.0025
"557",1,0,0,1,0.664450917752401,2e-04
"559",0,1,0,2,0.899741905556121,1e-04
"560",0,1,0,2,0.733993497498808,1e-04
"561",0,0,1,3,0.726039975291919,9e-04
"562",0,0,1,3,0.619715284510806,1e-04
"563",0,1,0,2,0.862184512184292,1e-04
"564",1,0,0,1,0.358242339346007,1e-04
"565",0,1,0,2,0.667234011118594,1e-04
"567",0,1,0,2,0.547444680217818,1e-04
"568",1,0,0,1,0.801956038108185,1e-04
"570",0,1,0,2,0.86488957847676,1e-04
"572",1,1,0,4,0.651581728858023,0.0045
"573",1,0,0,1,0.592039373061954,1e-04
"574",0,0,1,3,0.723244309598134,0.0011
"575",1,0,0,1,0.579786408054457,1e-04
"576",0,1,0,2,0.829930027880277,1e-04
"577",1,0,0,1,0.661478270165141,1e-04
"579",1,0,0,1,0.41510483956286,1e-04
"580",1,0,0,1,0.901467493080035,1e-04
"581",1,0,1,5,0.719210093285071,0.0011
"582",0,1,0,2,0.818224529870422,1e-04
"583",1,0,0,1,0.446213264302693,0.0016
"584",0,1,0,2,0.50452514156761,0.0058
"585",1,0,0,1,0.526756023996001,1e-04
"586",0,0,1,3,0.534589175311822,0.0148
"587",1,0,0,1,0.646718349398506,1e-04
"588",0,0,1,3,0.352171505564565,0.109
"589",0,0,1,3,0.512514213427764,0.0146
"590",0,1,0,2,0.581172798009912,8e-04
"591",1,0,0,1,0.619704520068068,2e-04
"592",1,0,0,1,0.518477447252529,5e-04
"593",0,1,0,2,0.722872807889394,1e-04
"594",1,0,0,1,0.437542552822531,0.001
"595",0,0,1,3,0.591029189220359,0.0061
"596",0,0,1,3,0.731189192734723,4e-04
"597",0,0,1,3,0.848452734805355,1e-04
"598",0,1,0,2,0.521888621514618,2e-04
"599",0,1,0,2,0.500350889038412,0.0027
"600",0,1,0,2,0.840164942295633,1e-04
"601",0,1,0,2,0.747417192116199,1e-04
"602",1,1,0,4,0.667238647590663,0.0032
"603",0,0,1,3,0.519226083599966,0.0034
"604",0,1,0,2,0.796847992058732,1e-04
"605",0,0,1,3,0.823553161686665,2e-04
"606",1,0,0,1,0.603798642215574,1e-04
"607",1,0,0,1,0.637157098668345,1e-04
"609",0,0,1,3,0.266210695628509,0.5082
