#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	45	43	82	35	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__DehalococcoidetesCL;f__DehalococcoidetesCL;g__DehalococcoidetesCL	Bacteria	Chloroflexi	Dehalococcoidetes	DehalococcoidetesCL	DehalococcoidetesCL	DehalococcoidetesCL
2488	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	40	78	12	13	65	8	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__CaldilineaceaeFA	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	CaldilineaceaeFA
2490	0	0	2	3	5	6	0	0	0	0	0	0	44	18	41	19	71	2	0	0	0	0	0	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR
2491	0	0	0	0	0	0	14	32	103	4	62	2	0	0	0	0	0	0	3	1	0	0	1	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL	Bacteria	Planctomycetes	Phycisphaerae	PhycisphaeraeCL	PhycisphaeraeCL	PhycisphaeraeCL
2492	0	0	0	0	0	0	0	17	4	83	22	44	0	5	1	6	0	0	1	24	1	3	2	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	SolirubrobacteralesOR	SolirubrobacteralesOR
2493	0	0	0	0	0	0	0	1	0	1	77	137	0	0	0	0	0	0	0	1	2	1	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesOR;g__ClostridialesOR	Bacteria	Firmicutes	Clostridia	Clostridiales	ClostridialesOR	ClostridialesOR
2494	0	0	1	0	0	0	0	0	1	13	0	1	0	3	1	0	1	0	22	22	40	38	59	19	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
2495	0	1	11	0	13	26	0	1	1	2	0	0	10	55	25	19	3	8	0	5	3	2	27	6	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__BacillaceaeFA	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	BacillaceaeFA
2496	1	1	13	1	6	40	15	23	4	1	9	0	10	16	23	24	9	7	1	1	6	3	0	6	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
2497	25	12	29	12	35	12	1	0	0	0	0	0	13	1	22	10	16	11	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
2498	0	0	0	0	0	0	5	0	1	10	0	0	0	0	0	0	0	0	91	45	6	6	52	5	k__Bacteria;p__GN04;c__GN15;o__GN15CL;f__GN15CL;g__GN15CL	Bacteria	GN04	GN15	GN15CL	GN15CL	GN15CL
2499	0	6	11	2	2	4	0	0	0	0	0	0	47	10	24	6	53	47	0	1	0	0	0	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MethanobacterialesOR	MethanobacterialesOR
2500	1	0	0	0	0	0	1	0	1	11	0	1	0	0	0	0	0	0	17	13	47	30	79	19	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
2501	9	10	7	9	11	5	0	0	0	1	0	0	1	4	17	2	21	6	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__ML110J-20	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	ML110J-20
2502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	54	59	61	45	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	SyntrophobacteraceaeFA
2503	7	1	1	0	6	8	0	0	1	0	0	0	3	64	6	12	3	3	0	1	15	11	1	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL	Bacteria	Planctomycetes	Phycisphaerae	PhycisphaeraeCL	PhycisphaeraeCL	PhycisphaeraeCL
2504	7	9	23	50	24	22	0	0	1	0	0	0	15	6	10	10	27	1	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL	Bacteria	Proteobacteria	Alphaproteobacteria	AlphaproteobacteriaCL	AlphaproteobacteriaCL	AlphaproteobacteriaCL
2505	58	28	3	10	72	9	0	0	0	0	0	0	8	3	5	17	1	1	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__ML615J-28;o__ML615J-28CL;f__ML615J-28CL;g__ML615J-28CL	Bacteria	Tenericutes	ML615J-28	ML615J-28CL	ML615J-28CL	ML615J-28CL
2506	0	0	0	0	0	1	6	0	7	21	5	28	0	0	0	0	0	1	0	26	19	17	14	75	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR	Bacteria	Planctomycetes	Planctomycea	Pirellulales	PirellulalesOR	PirellulalesOR
2507	0	0	0	1	0	2	74	26	56	18	8	0	1	0	2	1	0	0	7	7	0	2	12	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
2508	7	28	12	24	12	5	10	1	1	1	0	0	2	2	16	5	38	12	0	0	0	0	10	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__Roseivirga	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flammeovirgaceae	Roseivirga
2510	44	65	13	22	9	22	0	1	0	0	0	0	0	1	1	11	0	0	0	0	9	9	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
