#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
3698	0	0	1	0	0	0	34	39	44	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0
3699	0	1	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56	42	1	6
3700	0	0	0	0	0	0	0	0	0	109	0	6	0	0	0	0	0	0	0	1	0	0	7	3
3701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	6	2	3	72
3702	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	17	17	18	32	0
3703	0	0	0	0	0	0	13	40	59	5	6	1	0	0	0	0	0	0	2	0	0	0	0	0
3704	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	77	7	8	16	4
3705	0	0	0	0	0	0	5	21	4	2	6	0	0	0	0	0	0	0	16	9	16	8	38	1
3706	0	0	0	0	0	0	3	4	5	1	2	0	0	0	0	0	0	0	37	34	6	2	30	2
3709	4	0	5	0	9	13	0	0	2	0	0	0	0	4	3	6	2	2	1	3	20	17	1	31
3710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	23	25	50	12
3711	0	0	0	0	0	0	50	24	40	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0
3713	0	0	0	0	0	0	28	22	14	11	14	1	0	0	0	0	0	0	1	13	2	2	14	3
3714	0	0	0	0	0	0	15	31	39	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0
3715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	33	16	15	22	9
3716	0	0	0	0	0	0	5	0	1	6	0	0	0	0	0	0	0	0	22	20	2	4	61	4
3717	0	0	0	0	0	0	11	51	29	1	30	3	0	0	0	0	0	0	0	0	0	0	0	0
3718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	33	22	17	9	37
3720	0	0	0	0	0	0	17	4	6	0	1	1	0	0	0	0	0	0	13	11	24	15	19	14
3721	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	35	15	9	24	14
3722	0	0	0	0	0	0	31	34	29	3	15	2	0	1	0	0	0	0	0	3	3	1	3	0
3724	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0	0	0	27	32	11	14	27	6
3725	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	47	61	11	3
3726	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	97	11	0	1	12	1
3727	0	12	5	28	6	5	0	0	0	0	0	0	11	3	12	17	4	16	0	0	0	0	0	0
3728	0	0	0	0	0	0	8	28	38	2	47	1	0	0	0	0	0	0	0	1	0	0	0	0
3729	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	22	28	17	16	26	8
3730	1	0	3	0	2	0	8	0	36	5	4	0	2	3	12	0	13	2	3	1	2	1	4	1
3732	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	7	25	27	51	4
3733	0	0	0	0	0	0	0	3	3	1	65	52	0	0	0	0	0	0	0	0	0	0	0	0
3735	0	0	0	0	0	0	1	24	8	22	54	14	0	0	0	0	0	0	0	0	0	0	0	0
3736	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	9	11	5	41	52
3737	0	0	0	0	0	0	0	84	10	9	14	1	0	0	0	0	0	0	5	1	0	0	0	0
3738	0	0	0	0	0	0	0	0	0	8	1	3	0	0	0	0	0	0	0	4	5	2	3	98
3740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	23	16	50	13
3741	0	0	0	0	0	0	0	1	1	21	37	64	0	0	0	0	0	0	0	0	0	0	0	0
3743	0	0	0	0	0	0	5	28	12	8	43	25	0	0	0	0	0	0	0	0	0	0	0	0
3744	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	10	31	25	32	23
3745	0	0	0	0	0	0	0	11	1	2	16	93	0	0	0	0	0	0	0	0	0	0	0	0
3746	2	3	1	3	3	3	0	0	0	0	0	0	15	48	6	16	2	1	0	2	1	0	0	0
3747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	57	6	15
3748	0	0	0	0	0	0	0	0	0	114	0	5	0	0	0	0	0	0	0	0	0	1	3	0
3749	0	0	0	0	0	0	82	12	24	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3750	0	0	0	0	0	0	0	1	2	4	0	0	0	1	0	0	0	1	35	23	7	7	38	4
3751	0	0	0	0	0	2	0	0	4	3	0	0	1	72	0	4	0	1	5	2	7	11	8	3
3752	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	23	18	17	16	37	7
3753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	24	13	63	5
3755	0	2	17	2	4	0	0	0	0	0	0	0	0	1	29	0	45	1	0	0	1	0	0	0
3756	0	0	0	0	0	0	0	10	32	1	73	1	0	0	1	0	0	0	0	0	1	2	1	1
3757	0	0	0	0	0	0	41	69	6	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3758	0	0	0	0	0	0	0	0	5	15	0	1	0	0	0	0	0	0	19	4	2	4	71	2
3759	0	0	3	0	1	0	0	0	0	0	0	0	0	0	3	5	1	1	0	0	13	9	5	81
3760	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	19	33	17	8	35	9
3761	0	0	0	0	0	0	0	18	98	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3762	0	0	0	0	0	0	3	48	26	0	45	1	0	0	0	0	0	0	0	0	0	0	0	0
3763	0	0	0	0	0	0	34	9	9	2	2	0	12	24	0	4	0	7	1	4	5	1	5	2
3765	0	0	0	0	0	0	3	5	5	44	13	49	0	0	0	0	0	0	1	0	0	0	1	1
3766	0	0	1	0	0	0	0	0	0	1	3	25	0	0	1	0	1	0	4	2	10	8	12	54
3767	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	9	21	27	41	9
3768	0	0	0	0	0	0	7	59	30	9	16	1	0	0	0	0	0	0	0	0	0	0	0	0
3769	0	0	0	0	0	0	45	10	23	2	2	1	0	0	0	0	0	0	8	6	2	6	16	1
3771	0	0	0	0	1	0	6	0	7	3	0	0	0	0	0	0	0	0	7	10	30	25	10	23
3772	0	0	0	0	0	0	0	107	0	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0
3773	0	0	1	0	0	0	16	29	68	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0
3774	0	0	0	0	0	0	26	48	31	3	10	3	0	0	0	0	0	0	1	0	0	0	0	0
3775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0
3776	1	1	1	0	0	3	0	0	0	0	0	0	14	34	5	17	1	35	0	0	1	0	1	0
3777	0	0	0	0	0	0	0	1	56	14	47	0	0	0	0	0	0	0	0	0	1	0	1	0
3778	0	0	0	0	0	0	3	1	6	1	0	0	0	0	0	0	0	0	28	7	9	8	56	2
3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	24	18	17	25	4
3782	0	0	0	0	0	0	3	47	48	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0
3783	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	27	16	12	38	18
3784	0	0	0	0	0	0	25	59	28	1	2	0	0	0	0	0	0	0	2	0	0	0	3	1
3785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	25	34	32	9
3786	0	1	0	0	0	0	2	0	3	33	0	0	0	2	0	0	0	0	12	6	14	11	28	8
3788	0	0	0	0	0	0	21	60	9	2	23	0	0	0	0	0	0	0	2	2	2	0	0	0
3789	0	0	0	0	0	0	4	0	3	6	0	0	0	0	0	0	0	0	24	7	10	8	56	3
3790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	27	19	13	34	6
3791	0	0	0	0	0	0	0	39	71	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0
3792	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	23	21	7	15	44	5
3794	0	0	0	0	0	0	0	0	0	0	0	0	0	57	1	0	0	0	0	3	16	16	24	3
3795	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	1	15	10	13	34	38
3796	0	0	0	0	0	0	0	0	62	51	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3797	0	0	1	0	1	0	1	9	2	39	39	21	0	0	0	2	0	0	2	0	0	0	1	1
3798	0	0	0	0	0	0	27	3	10	2	13	44	1	0	0	0	0	0	5	1	2	2	11	0
3799	0	0	0	1	0	0	0	0	0	72	0	0	0	1	1	0	0	1	0	4	5	8	6	21
3801	0	0	0	0	0	0	3	34	59	21	1	0	0	0	0	0	0	0	0	0	0	1	0	0
3802	0	0	0	0	0	2	0	0	1	0	0	0	88	10	0	4	0	15	0	0	0	0	0	0
