"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"254",0,17828.96,85.4,75.18,1052.71,1656.02,0,0,5.12,0,0,0,0,0,4.87,0,0,0,0,5.35,0,0,4.61,0
"255",22.35,0,154.78,8917.01,1245.15,4620.56,63.37,997.6,471.4,570.4,953.91,1806.26,0,0,0,0,0,0,0,0,0,0,0,0
"256",542.02,56.76,128.1,5.78,5.66,5.43,19.01,39.9,25.62,5.59,35.33,10.26,3024.56,2680.39,1301.19,935.49,840.56,1795.62,393.9,647.43,1036.27,1130.7,930.33,974.67
"257",0,11.35,0,0,0,0,69.7,239.42,497.02,458.56,1682.99,7183.98,23.23,124.22,73.1,251.65,68.82,432.18,77.67,85.61,365.11,277.6,32.24,97.47
"258",0,0,0,23.13,0,0,3820.93,1242.72,4068.35,4188.55,3561.91,723.53,0,0,0,0,0,0,0,0,0,0,0,0
"259",2117.79,221.37,950.04,0,107.54,5.43,7496.12,1738.67,932.54,704.62,3369.2,307.88,4.65,14.33,9.75,71.12,49.16,5.15,5.55,128.42,32.22,6.77,0,5.13
"260",3039.79,5142.64,4985.06,1624.95,3282.66,124.88,538.61,427.54,112.73,106.25,308.33,61.58,0,0,0,0,0,0,0,0,0,0,0,0
"261",0,11.35,5.34,0,0,0,0,11.4,220.33,313.16,64.24,605.51,3544.91,1098.91,974.68,995.67,2905.09,1085.6,227.46,3493.98,649.69,521.34,239.49,707.92
"262",8828.79,4983.71,4355.25,427.92,679.17,70.58,57.03,45.6,5.12,0,83.51,0,4.65,4.78,0,5.47,0,5.15,0,16.05,5.37,0,0,0
"263",0,22.7,0,0,0,0,0,0,5.12,0,9.64,5.13,1096.46,396.56,2392.83,1044.9,3386.81,1270.82,626.91,1289.51,2142.35,352.07,930.33,687.4
"264",6141.04,4733.96,5262.6,242.88,2507.27,200.89,76.04,85.51,71.73,89.47,73.87,5.13,4.65,0,0,5.47,0,0,0,0,0,0,0,0
"265",0,5.68,0,0,0,0,0,0,0,0,0,5.13,1268.36,893.46,545.82,1438.79,3898.03,1188.5,843.28,856.1,1433.6,1340.59,1487.61,831.03
"266",1190.21,210.02,410.97,161.92,152.81,0,3485.09,5706.27,1829.22,1962.86,2270.76,836.42,0,0,0,0,4.92,0,0,0,0,0,4.61,5.13
"267",0,669.79,48.04,8413.91,486.74,6249.42,0,22.8,0,0,0,20.53,0,0,0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,0,5.43,0,5.7,92.23,61.51,0,41.05,2137.17,301.01,770,815.13,2049.78,792.34,188.63,8379.13,440.28,460.41,142.77,369.35
"269",0,505.18,176.13,12739.41,3576.97,2714.78,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",0,0,16.01,0,11.32,0,0,0,0,0,0,0,306.64,759.68,789.49,421.24,4084.82,421.89,488.21,1310.91,1943.69,2153.07,2878.5,692.53
"271",368.8,45.41,90.73,75.18,22.64,0,4435.57,4218.42,1788.23,1705.62,3260,964.71,0,0,0,0,0,25.73,0,0,0,0,0,0
"272",0,5.68,0,0,0,0,0,0,76.86,55.92,6.42,5.13,1765.49,2336.38,1549.74,3867.78,1646.71,1481.77,1253.82,567.17,220.14,1530.17,151.98,949.02
"273",1559.01,266.78,918.02,109.87,73.58,5.43,2034.03,1174.32,3325.39,3696.43,1320.06,508.01,65.04,71.67,77.97,76.59,14.75,108.05,138.7,931.01,102.02,406.24,82.9,189.8
"274",94.99,0,16.01,86.74,5.66,0,1146.91,1482.15,2889.86,3232.28,3655.05,2914.64,9.29,4.78,0,0,0,0,0,58.86,0,0,0,5.13
"276",7705.63,2480.5,4947.69,225.53,599.93,27.15,228.12,222.32,563.63,480.93,260.16,246.31,0,0,0,0,0,0,0,5.35,0,0,0,0
"277",1352.26,187.31,144.11,11.57,118.85,0,2490.26,1510.65,3668.69,3886.57,2408.86,610.64,0,0,0,5.47,0,0,0,133.77,0,13.54,0,0
"280",0,380.31,37.36,242.88,945.18,1026.19,0,5.7,0,0,0,61.58,0,4.78,0,0,0,0,0,0,0,0,0,0
"281",0,0,5.34,5.78,0,0,0,0,0,0,0,0,37.17,133.78,263.16,71.12,565.29,118.34,105.41,262.18,2485.99,135.41,3329.85,133.38
"282",0,0,0,0,0,0,38.02,57.01,4683.22,3948.08,163.8,687.61,0,14.33,4.87,10.94,4.92,5.15,0,0,32.22,0,0,10.26
"283",5.59,0,42.7,497.32,16.98,103.16,285.14,2023.7,2772.01,2505.3,1956,5028.79,0,0,14.62,5.47,14.75,10.29,0,58.86,5.37,13.54,4.61,0
"284",0,0,0,352.75,741.43,16446.14,0,0,0,5.59,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",206.75,6181.39,1766.65,329.62,8931.1,689.55,0,5.7,5.12,5.59,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",0,17.03,5.34,0,0,0,12.67,5.7,686.6,659.88,93.14,1000.63,850.22,143.34,1583.85,268.06,1661.46,3004.7,493.76,1027.33,1573.21,2010.89,511.22,754.09
"287",966.7,96.5,480.36,86.74,62.26,43.44,2084.72,1311.13,2556.81,2991.82,3626.14,785.11,0,0,0,0,0,15.44,0,80.26,10.74,27.08,0,0
"288",3352.7,459.77,13273.91,104.09,130.17,5.43,0,0,0,0,3.21,0,0,0,0,5.47,0,0,0,0,0,0,0,0
"289",0,5.68,5.34,0,5.66,0,0,0,10.25,5.59,3.21,0,23.23,162.45,2621.88,798.72,314.6,159.5,210.82,267.53,2201.41,155.73,4324.66,153.9
"290",0,221.37,74.72,3648.92,10691.28,3344.61,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",0,0,16.01,0,0,0,6.34,0,30.74,39.15,6.42,5.13,808.41,883.91,1072.15,924.55,2212,2114.61,571.43,3322.76,1202.72,616.13,681.63,928.5
"292",424.68,39.73,976.73,2342.02,50.94,43.44,906.12,1105.91,1813.85,2002,1047.05,4428.41,37.17,4.78,214.43,10.94,147.47,56.6,11.1,246.13,42.95,13.54,82.9,71.82
"293",5.59,0,0,0,0,0,0,5.7,10.25,0,0,5.13,41.81,181.56,2738.84,8184.17,54.07,159.5,443.83,251.48,370.48,284.37,428.32,574.54
"294",0,5.68,0,5.78,11.32,0,12.67,11.4,1286.09,1146.4,224.83,1719.02,362.39,52.56,1291.45,103.94,1174.82,3261.95,382.8,904.26,1095.34,2078.59,280.94,805.38
"295",0,0,32.02,5.78,0,0,0,0,1911.2,1722.39,19.27,159.07,4023.45,172,190.06,1482.56,1273.13,427.04,66.57,3798.97,177.19,67.71,78.3,92.34
"296",5721.95,3377.34,4104.4,670.8,2020.53,553.82,44.36,131.11,5.12,5.59,48.18,15.39,4.65,4.78,34.11,10.94,4.92,180.08,27.74,5.35,32.22,94.79,9.21,76.95
