node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1295		otu_node	7	269.352477407		otu	otu	otu	otu
1296		otu_node	7	2982.11620363		otu	otu	otu	otu
1297		otu_node	15	692.361842844		otu	otu	otu	otu
1298		otu_node	6	505.59592367		otu	otu	otu	otu
1299		otu_node	23	317.730227449		otu	otu	otu	otu
13		otu_node	22	37982.2523981		otu	otu	otu	otu
130		otu_node	12	34689.3133528		otu	otu	otu	otu
1300		otu_node	12	1482.97788765		otu	otu	otu	otu
1301		otu_node	19	487.698442712		otu	otu	otu	otu
1302		otu_node	13	391.763964724		otu	otu	otu	otu
1303		otu_node	12	553.126678218		otu	otu	otu	otu
1304		otu_node	10	477.124898556		otu	otu	otu	otu
1305		otu_node	7	746.061978336		otu	otu	otu	otu
1306		otu_node	18	347.630230705		otu	otu	otu	otu
1307		otu_node	16	353.177755778		otu	otu	otu	otu
1308		otu_node	11	616.925967261		otu	otu	otu	otu
1309		otu_node	10	695.056863559		otu	otu	otu	otu
131		otu_node	20	4509.54666362		otu	otu	otu	otu
1310		otu_node	6	2307.87460843		otu	otu	otu	otu
1311		otu_node	7	689.71304563		otu	otu	otu	otu
1312		otu_node	9	707.925441689		otu	otu	otu	otu
1314		otu_node	12	339.689465245		otu	otu	otu	otu
1315		otu_node	6	559.09068606		otu	otu	otu	otu
1316		otu_node	14	161.718254831		otu	otu	otu	otu
1317		otu_node	16	317.370006626		otu	otu	otu	otu
1318		otu_node	9	769.718259446		otu	otu	otu	otu
1319		otu_node	20	254.396253101		otu	otu	otu	otu
132		otu_node	15	961.786964137		otu	otu	otu	otu
1320		otu_node	12	2098.21419493		otu	otu	otu	otu
1321		otu_node	10	715.306834126		otu	otu	otu	otu
1323		otu_node	13	256.823304605		otu	otu	otu	otu
1324		otu_node	9	607.120598775		otu	otu	otu	otu
1325		otu_node	9	539.622752408		otu	otu	otu	otu
1326		otu_node	24	540.270516681		otu	otu	otu	otu
1327		otu_node	21	617.95957411		otu	otu	otu	otu
1328		otu_node	7	515.714886617		otu	otu	otu	otu
1329		otu_node	6	987.047755335		otu	otu	otu	otu
